masv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
2974F9D5XPvAibaEXe+lwq621ApacRtRVVgBsUrf,THPT,24.5,50,840,THPT Nguy?n Tr„i
920A152EXPvAibaEXe+lwq621ApacfvQPvb0aqXR,THPT,27.5,44,34,THPT Phan B?i Ch‚u
12A9523FXPvAibaEXe+lwq621ApacfioDy2WOjEt,THPT,24,58,12,THPT ChuyÍn Nguy?n Thi?n Th‡nh
E62A53DEXPvAibaEXe+lwq621ApacbErJD/pd6me,THPT,23.5,61,2,THPT H? Th? K?
2FB67786XPvAibaEXe+lwq621ApaceLppHx2sj6r,THPT,26,38,16,Tr??ng THPT Nguy?n B?nh KhiÍm
C34827C5XPvAibaEXe+lwq621ApacYn/G0L78IR9,THPT,31.5,37,37,THPT Nguy?n Tr‚n
0FC485B7XPvAibaEXe+lwq621ApacWNSIxSrdxsm,THPT,27.5,37,10,THPT S? 1 Tuy ph??c
B3134F24XPvAibaEXe+lwq621ApacZLQAtrpniF4,THPT,27.5,37,37,THPT Nguy?n Tr‚n
45213E72XPvAibaEXe/lOccskaOiO/d9phcRuPc/,THPT,32,44,34,THPT Phan B?i Ch‚u
132730F3XPvAibaEXe/lOccskaOiO3EUCDXCyg9F,THPT,28,42,21,THPT Di Linh
A7480F67XPvAibaEXe/lOccskaOiO75Myb5P3LDQ,THPT,23.5,40,19,THPT Ea H'leo
F751BE36XPvAibaEXe/lOccskaOiO+4LaUqrFAPR,THPT,24.5,2,63,THPT Vı Th? S·u
91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu,THPT,24.5,2,4,THPT chuyÍn Tr?n ??i Ngh?a
83B76C01XPvAibaEXe/lOccskaOiO2K46r7t4qnt,THPT,26.5,48,3,THPT NgÙ Quy?n
C06D6804XPvAibaEXe/lOccskaOiOzn1wuEhQE1s,THPT,26.5,2,56,THPT Nguy?n Th·i BÏnh
0EA8D3D2XPvAibaEXe/lOccskaOiOzxORymghVIL,THPT,23.5,57,14,THPT H?u Th‡nh
979A928AXPvAibaEXe/lOccskaOiO+maJG9wgnrj,THPT,27,32,22,THPT V?nh ??nh
9FDA2448XPvAibaEXe/lOccskaOiO4PC+M4AnVN4,THPT,24.5,34,13,THPT S‡o Nam
7A7166DAXPvAibaEXe83V/kFvw2bBZ0o/KVHZc30,THPT,29,36,32,THPT Nguy?n Du
29046716XPvAibaEXe83V/kFvw2bBR3WiVsBjF7n,THPT,24.5,44,28,THPT Ph??c V?nh
